Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
C,Training,138,Who did not do it?,smashed,NA,NA,NA,Question_Control,1,InstControl,,whodidnotdoit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,1498,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidnotdoit.mp3?raw=true,0.074696379
C,Training,26,Kate knocked on the cow with the watering can,knocked on,cow,watering can,cowmallet,Sentence,1,InstControl,2,katecowwateringcan_nopauses.mp3,katecowwateringcaninstright_context.png,katecowwateringcanmodleft_context.png,katecowwateringcaninstright_context.png,katecowwateringcanmodleft_context.png,1,inst,mod,L,R,386,3263,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/katecowwateringcaninstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/katecowwateringcanmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/katecowwateringcan_nopauses.mp3?raw=true,0.077172466
C,Training,26,Who did it?,knocked on,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.077172466
C,Training,11,Tom covered the buffalo with the feather,covered,buffalo,feather,buffaloladle,Sentence,1,InstControl,11,tombuffalofeather_nopauses.mp3,tombuffalofeatherinstleft_context.png,tombuffalofeathermodright_context.png,tombuffalofeathermodright_context.png,tombuffalofeatherinstleft_context.png,2,mod,inst,R,L,614,2923,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tombuffalofeathermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tombuffalofeatherinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/tombuffalofeather_nopauses.mp3?raw=true,0.083657689
C,Training,11,Who did it?,covered,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,tom.png,kate.png,kate.png,tom.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.083657689
C,Training,130,Kate slapped the gorilla with the spoon,slapped,gorilla,spoon,gorillaladle,Sentence,1,InstControl,10,kategorillaspoon_nopauses.mp3,kategorillaspooninstright_context.png,kategorillaspoonmodleft_context.png,kategorillaspooninstright_context.png,kategorillaspoonmodleft_context.png,1,inst,mod,L,R,406,3239,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kategorillaspooninstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kategorillaspoonmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/kategorillaspoon_nopauses.mp3?raw=true,0.088216395
C,Training,130,Who did not do it?,slapped,NA,NA,NA,Question_Control,1,InstControl,,whodidnotdoit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,1498,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidnotdoit.mp3?raw=true,0.088216395
C,Training,111,Tom stung the fox with the pin,stung,fox,pin,foxtennisracket,Sentence,1,InstControl,3,tomfoxpin_nopauses.mp3,tomfoxpininstright_context.png,tomfoxpinmodleft_context.png,tomfoxpininstright_context.png,tomfoxpinmodleft_context.png,1,inst,mod,L,R,614,3176,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomfoxpininstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomfoxpinmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/tomfoxpin_nopauses.mp3?raw=true,0.109731478
C,Training,111,Who did it?,stung,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,tom.png,kate.png,kate.png,tom.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.109731478
C,Training,53,Tom tapped the frog with the jewel,tapped,frog,jewel,frogmallet,Sentence,1,InstControl,5,tomfrogjewel_nopauses.mp3,tomfrogjewelinstleft_context.png,tomfrogjewelmodright_context.png,tomfrogjewelmodright_context.png,tomfrogjewelinstleft_context.png,2,mod,inst,R,L,544,2669,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomfrogjewelmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomfrogjewelinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/tomfrogjewel_nopauses.mp3?raw=true,0.11339773
