group,TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
D,59,Pre,48,Kate hammered the hawk with the rock,hammered,hawk,rock,Sentence,1,InstControl,katehawkrock_nopauses.mp3,katehawkrockinstleft.png,katehawkrockmodright.png,katehawkrockmodright.png,katehawkrockinstleft.png,2,mod,inst,R,L,491,2701,0.824436753,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawkrockmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawkrockinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katehawkrock_nopauses.mp3?raw=true
D,60,Pre,23,Tom hit the buffalo with the oven mitt,hit,buffalo,oven mitt,Sentence,1,InstControl,tombuffaloovenmitt_nopauses.mp3,tombuffaloovenmittinstright.png,tombuffaloovenmittmodleft.png,tombuffaloovenmittinstright.png,tombuffaloovenmittmodleft.png,1,inst,mod,L,R,524,2636,0.828367879,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffaloovenmittinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffaloovenmittmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tombuffaloovenmitt_nopauses.mp3?raw=true
D,61,Pre,70,Kate scratched the gorilla with the coral,scratched,gorilla,coral,Sentence,1,InstControl,kategorillacoral_nopauses.mp3,kategorillacoralinstleft.png,kategorillacoralmodright.png,kategorillacoralmodright.png,kategorillacoralinstleft.png,2,mod,inst,R,L,407,3130,0.846417286,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategorillacoralmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategorillacoralinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kategorillacoral_nopauses.mp3?raw=true
D,62,Pre,39,Tom hammered the fox with the horseshoe,hammered,fox,horseshoe,Sentence,1,InstControl,tomfoxhorseshoe_nopauses.mp3,tomfoxhorseshoeinstright.png,tomfoxhorseshoemodleft.png,tomfoxhorseshoeinstright.png,tomfoxhorseshoemodleft.png,1,inst,mod,L,R,636,3082,0.853793191,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxhorseshoeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxhorseshoemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfoxhorseshoe_nopauses.mp3?raw=true
D,63,Pre,36,Kate knocked on the hawk with the tomato,knocked on,hawk,tomato,Sentence,1,InstControl,katehawktomato_nopauses.mp3,katehawktomatoinstright.png,katehawktomatomodleft.png,katehawktomatoinstright.png,katehawktomatomodleft.png,1,inst,mod,L,R,429,2903,0.883755609,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawktomatoinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawktomatomodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katehawktomato_nopauses.mp3?raw=true
D,64,Pre,54,Kate tapped the turtle with the boots,tapped,turtle,boots,Sentence,1,InstControl,kateturtleboots_nopauses.mp3,kateturtlebootsinstright.png,kateturtlebootsmodleft.png,kateturtlebootsinstright.png,kateturtlebootsmodleft.png,1,inst,mod,L,R,409,2609,0.903947173,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlebootsinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlebootsmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kateturtleboots_nopauses.mp3?raw=true
D,65,Pre,2,Kate covered the cow with the water,covered,cow,water,Sentence,1,InstControl,katecowwater_nopauses.mp3,katecowwaterinstright.png,katecowwatermodleft.png,katecowwaterinstright.png,katecowwatermodleft.png,1,inst,mod,L,R,453,2461,0.917352441,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katecowwaterinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katecowwatermodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katecowwater_nopauses.mp3?raw=true
D,66,Pre,66,Kate scratched the turtle with the sandpaper,scratched,turtle,sandpaper,Sentence,1,InstControl,kateturtlesandpaper_nopauses.mp3,kateturtlesandpaperinstleft.png,kateturtlesandpapermodright.png,kateturtlesandpapermodright.png,kateturtlesandpaperinstleft.png,2,mod,inst,R,L,404,3309,0.919234721,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlesandpapermodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlesandpaperinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kateturtlesandpaper_nopauses.mp3?raw=true
D,67,Pre,20,Kate hit the girl with the oven mitt,hit,girl,oven mitt,Sentence,1,InstControl,kategirlovenmitt_nopauses.mp3,kategirlovenmittinstleft.png,kategirlovenmittmodright.png,kategirlovenmittmodright.png,kategirlovenmittinstleft.png,2,mod,inst,R,L,365,2409,0.920704254,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategirlovenmittmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategirlovenmittinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kategirlovenmitt_nopauses.mp3?raw=true
D,68,Pre,63,Tom scratched the fox with the sandpaper,scratched,fox,sandpaper,Sentence,1,InstControl,tomfoxsandpaper_nopauses.mp3,tomfoxsandpaperinstright.png,tomfoxsandpapermodleft.png,tomfoxsandpaperinstright.png,tomfoxsandpapermodleft.png,1,inst,mod,L,R,557,3518,0.93053276,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxsandpaperinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxsandpapermodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfoxsandpaper_nopauses.mp3?raw=true
D,69,Pre,71,Tom scratched the buffalo with the coral,scratched,buffalo,coral,Sentence,1,InstControl,tombuffalocoral_nopauses.mp3,tombuffalocoralinstright.png,tombuffalocoralmodleft.png,tombuffalocoralinstright.png,tombuffalocoralmodleft.png,1,inst,mod,L,R,552,3269,0.935792232,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalocoralinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalocoralmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tombuffalocoral_nopauses.mp3?raw=true
D,70,Pre,49,Tom tapped the dolphin with the boots,tapped,dolphin,boots,Sentence,1,InstControl,tomdolphinboots_nopauses.mp3,tomdolphinbootsinstleft.png,tomdolphinbootsmodright.png,tomdolphinbootsmodright.png,tomdolphinbootsinstleft.png,2,mod,inst,R,L,670,2945,0.950210086,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinbootsmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinbootsinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomdolphinboots_nopauses.mp3?raw=true
D,71,Pre,3,Tom covered the fox with the water,covered,fox,water,Sentence,1,InstControl,tomfoxwater_nopauses.mp3,tomfoxwaterinstleft.png,tomfoxwatermodright.png,tomfoxwatermodright.png,tomfoxwaterinstleft.png,2,mod,inst,R,L,589,2751,0.974387203,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxwatermodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxwaterinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfoxwater_nopauses.mp3?raw=true
D,72,Pre,27,Tom knocked on the fox with the cucumber,knocked on,fox,cucumber,Sentence,1,InstControl,tomfoxcucumber_nopauses.mp3,tomfoxcucumberinstleft.png,tomfoxcucumbermodright.png,tomfoxcucumbermodright.png,tomfoxcucumberinstleft.png,2,mod,inst,R,L,508,3185,0.982005252,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxcucumbermodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxcucumberinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfoxcucumber_nopauses.mp3?raw=true
