group,TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
C,41,Post,40,Tom hammered the lion with the rock,hammered,lion,rock,Sentence,1,Inst,tomlionrock_nopauses.mp3,tomlionrockinstright.png,tomlionrockmodleft.png,tomlionrockinstright.png,tomlionrockmodleft.png,1,inst,mod,L,R,611,2854,0.576833569,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionrockinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionrockmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomlionrock_nopauses.mp3?raw=true
C,42,Post,1,Kate covered the dolphin with the fern,covered,dolphin,fern,Sentence,1,Inst,katedolphinfern_nopauses.mp3,katedolphinferninstright.png,katedolphinfernmodleft.png,katedolphinferninstright.png,katedolphinfernmodleft.png,1,inst,mod,L,R,348,2640,0.581749683,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinferninstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinfernmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katedolphinfern_nopauses.mp3?raw=true
C,43,Post,60,Tom tapped the hawk with the boots,tapped,hawk,boots,Sentence,1,Inst,tomhawkboots_nopauses.mp3,tomhawkbootsinstleft.png,tomhawkbootsmodright.png,tomhawkbootsmodright.png,tomhawkbootsinstleft.png,2,mod,inst,R,L,570,2495,0.616287906,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkbootsmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkbootsinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomhawkboots_nopauses.mp3?raw=true
C,44,Post,48,Tom hammered the hawk with the horseshoe,hammered,hawk,horseshoe,Sentence,1,Inst,tomhawkhorseshoe_nopauses.mp3,tomhawkhorseshoeinstright.png,tomhawkhorseshoemodleft.png,tomhawkhorseshoeinstright.png,tomhawkhorseshoemodleft.png,1,inst,mod,L,R,584,2842,0.618536548,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkhorseshoeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawkhorseshoemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomhawkhorseshoe_nopauses.mp3?raw=true
C,45,Post,41,Kate hammered the frog with the rock,hammered,frog,rock,Sentence,1,Inst,katefrogrock_nopauses.mp3,katefrogrockinstleft.png,katefrogrockmodright.png,katefrogrockmodright.png,katefrogrockinstleft.png,2,mod,inst,R,L,413,2601,0.619266759,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogrockmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogrockinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefrogrock_nopauses.mp3?raw=true
C,46,Post,57,Kate tapped the whale with the boots,tapped,whale,boots,Sentence,1,Inst,katewhaleboots_nopauses.mp3,katewhalebootsinstright.png,katewhalebootsmodleft.png,katewhalebootsinstright.png,katewhalebootsmodleft.png,1,inst,mod,L,R,380,2500,0.626067654,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalebootsinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalebootsmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhaleboots_nopauses.mp3?raw=true
C,47,Post,54,Tom tapped the turtle with the magic wand,tapped,turtle,magic wand,Sentence,1,Inst,tomturtlemagicwand_nopauses.mp3,tomturtlemagicwandinstleft.png,tomturtlemagicwandmodright.png,tomturtlemagicwandmodright.png,tomturtlemagicwandinstleft.png,2,mod,inst,R,L,502,3084,0.628334716,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomturtlemagicwandmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomturtlemagicwandinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomturtlemagicwand_nopauses.mp3?raw=true
C,48,Post,15,Kate hit the fox with the oven mitt,hit,fox,oven mitt,Sentence,1,Inst,katefoxovenmitt_nopauses.mp3,katefoxovenmittinstleft.png,katefoxovenmittmodright.png,katefoxovenmittmodright.png,katefoxovenmittinstleft.png,2,mod,inst,R,L,426,2369,0.642699647,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxovenmittmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxovenmittinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefoxovenmitt_nopauses.mp3?raw=true
C,49,Post,16,Tom hit the lion with the oven mitt,hit,lion,oven mitt,Sentence,1,Inst,tomlionovenmitt_nopauses.mp3,tomlionovenmittinstright.png,tomlionovenmittmodleft.png,tomlionovenmittinstright.png,tomlionovenmittmodleft.png,1,inst,mod,L,R,500,2483,0.643217808,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionovenmittinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionovenmittmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomlionovenmitt_nopauses.mp3?raw=true
C,50,Post,55,Kate tapped the pig with the boots,tapped,pig,boots,Sentence,1,Inst,katepigboots_nopauses.mp3,katepigbootsinstright.png,katepigbootsmodleft.png,katepigbootsinstright.png,katepigbootsmodleft.png,1,inst,mod,L,R,355,2370,0.659368293,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepigbootsinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepigbootsmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katepigboots_nopauses.mp3?raw=true
