Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
D,Pre,13,Kate hit the dolphin with the oven mitt,hit,dolphin,oven mitt,dolphinoar,Sentence,2,InstControl,katedolphinovenmitt_nopauses.mp3,katedolphinovenmittinstleft2_context.png,katedolphinovenmittmodright2_context.png,katedolphinovenmittmodright2_context.png,katedolphinovenmittinstleft2_context.png,2,mod,inst,R,L,413,2362,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinovenmittmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinovenmittinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katedolphinovenmitt_nopauses.mp3?raw=true,0.103678599
D,Pre,39,Kate hammered the fox with the rock,hammered,fox,rock,foxoar,Sentence,2,InstControl,katefoxrock_nopauses.mp3,katefoxrockinstleft2_context.png,katefoxrockmodright2_context.png,katefoxrockmodright2_context.png,katefoxrockinstleft2_context.png,2,mod,inst,R,L,374,2704,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxrockmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxrockinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxrock_nopauses.mp3?raw=true,0.105461191
D,Pre,22,Tom hit the gorilla with the ball,hit,gorilla,ball,gorillatennisracket,Sentence,2,InstControl,tomgorillaball_nopauses.mp3,tomgorillaballinstright2_context.png,tomgorillaballmodleft2_context.png,tomgorillaballinstright2_context.png,tomgorillaballmodleft2_context.png,1,inst,mod,L,R,501,2247,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillaballinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillaballmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgorillaball_nopauses.mp3?raw=true,0.118817261
D,Pre,139,Kate smashed the pig with the flower pot,smashed,pig,flower pot,pigtennisracket,Sentence,2,InstControl,katepigflowerpot_nopauses.mp3,katepigflowerpotinstleft2_context.png,katepigflowerpotmodright2_context.png,katepigflowerpotmodright2_context.png,katepigflowerpotinstleft2_context.png,2,mod,inst,R,L,389,3262,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigflowerpotmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigflowerpotinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigflowerpot_nopauses.mp3?raw=true,0.129426191
D,Pre,63,Kate scratched the fox with the coral,scratched,fox,coral,foxoar,Sentence,2,InstControl,katefoxcoral_nopauses.mp3,katefoxcoralinstleft2_context.png,katefoxcoralmodright2_context.png,katefoxcoralmodright2_context.png,katefoxcoralinstleft2_context.png,2,mod,inst,R,L,399,2756,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxcoralmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxcoralinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxcoral_nopauses.mp3?raw=true,0.134788122
D,Pre,116,Tom stung the girl with the cactus,stung,girl,cactus,girltennisracket,Sentence,2,InstControl,tomgirlcactus_nopauses.mp3,tomgirlcactusinstright2_context.png,tomgirlcactusmodleft2_context.png,tomgirlcactusinstright2_context.png,tomgirlcactusmodleft2_context.png,1,inst,mod,L,R,591,3261,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlcactusinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlcactusmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgirlcactus_nopauses.mp3?raw=true,0.146012246
D,Pre,16,Tom hit the lion with the oven mitt,hit,lion,oven mitt,lionoar,Sentence,2,InstControl,tomlionovenmitt_nopauses.mp3,tomlionovenmittinstright2_context.png,tomlionovenmittmodleft2_context.png,tomlionovenmittinstright2_context.png,tomlionovenmittmodleft2_context.png,1,inst,mod,L,R,500,2483,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionovenmittinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionovenmittmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomlionovenmitt_nopauses.mp3?raw=true,0.151569575
D,Pre,72,Tom scratched the hawk with the sandpaper,scratched,hawk,sandpaper,hawktennisracket,Sentence,2,InstControl,tomhawksandpaper_nopauses.mp3,tomhawksandpaperinstright2_context.png,tomhawksandpapermodleft2_context.png,tomhawksandpaperinstright2_context.png,tomhawksandpapermodleft2_context.png,1,inst,mod,L,R,579,3086,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawksandpaperinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawksandpapermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomhawksandpaper_nopauses.mp3?raw=true,0.160703526
D,Pre,105,Kate crushed the whale with the pear,crushed,whale,pear,whalemallet,Sentence,2,InstControl,katewhalepear_nopauses.mp3,katewhalepearinstright2_context.png,katewhalepearmodleft2_context.png,katewhalepearinstright2_context.png,katewhalepearmodleft2_context.png,1,inst,mod,L,R,342,2648,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalepearinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalepearmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katewhalepear_nopauses.mp3?raw=true,0.161542995
D,Pre,121,Kate slapped the dolphin with the net,slapped,dolphin,net,dolphinladle,Sentence,2,InstControl,katedolphinnet_nopauses.mp3,katedolphinnetinstright2_context.png,katedolphinnetmodleft2_context.png,katedolphinnetinstright2_context.png,katedolphinnetmodleft2_context.png,1,inst,mod,L,R,390,2770,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinnetinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinnetmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katedolphinnet_nopauses.mp3?raw=true,0.162115647
D,Pre,79,Kate jabbed the pig with the carrot,jabbed,pig,carrot,pigmallet,Sentence,2,InstControl,katepigcarrot_nopauses.mp3,katepigcarrotinstright2_context.png,katepigcarrotmodleft2_context.png,katepigcarrotinstright2_context.png,katepigcarrotmodleft2_context.png,1,inst,mod,L,R,394,2843,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigcarrotinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigcarrotmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigcarrot_nopauses.mp3?raw=true,0.167386665
D,Pre,119,Kate stung the buffalo with the cactus,stung,buffalo,cactus,buffalotennisracket,Sentence,2,InstControl,katebuffalocactus_nopauses.mp3,katebuffalocactusinstleft2_context.png,katebuffalocactusmodright2_context.png,katebuffalocactusmodright2_context.png,katebuffalocactusinstleft2_context.png,2,mod,inst,R,L,335,3187,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalocactusmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalocactusinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffalocactus_nopauses.mp3?raw=true,0.172990059
D,Pre,124,Tom slapped the lion with the net,slapped,lion,net,lionladle,Sentence,2,InstControl,tomlionnet_nopauses.mp3,tomlionnetinstleft2_context.png,tomlionnetmodright2_context.png,tomlionnetmodright2_context.png,tomlionnetinstleft2_context.png,2,mod,inst,R,L,542,3133,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionnetmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionnetinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomlionnet_nopauses.mp3?raw=true,0.175081221
D,Pre,125,Kate slapped the frog with the net,slapped,frog,net,frogladle,Sentence,2,InstControl,katefrognet_nopauses.mp3,katefrognetinstright2_context.png,katefrognetmodleft2_context.png,katefrognetinstright2_context.png,katefrognetmodleft2_context.png,1,inst,mod,L,R,386,2792,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrognetinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrognetmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefrognet_nopauses.mp3?raw=true,0.185793791
D,Pre,130,Tom slapped the gorilla with the notebook,slapped,gorilla,notebook,gorillamallet,Sentence,2,InstControl,tomgorillanotebook_nopauses.mp3,tomgorillanotebookinstleft2_context.png,tomgorillanotebookmodright2_context.png,tomgorillanotebookmodright2_context.png,tomgorillanotebookinstleft2_context.png,2,mod,inst,R,L,618,3251,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillanotebookmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillanotebookinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgorillanotebook_nopauses.mp3?raw=true,0.201943009
