TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
11,Post,50,Tom glanced at the cow with the mirror,glanced,cow,mirror,Sentence,1,Mod,tomcowmirror_nopauses.mp3,tomcowmirrormodright.png,tomcowmirrorinstleft.png,tomcowmirrormodright.png,tomcowmirrorinstleft.png,1,mod,inst,R,L,631,2921,0.13368658,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowmirrormodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowmirrorinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomcowmirror_nopauses.mp3?raw=true
12,Post,58,Tom glanced at the gorilla with the glass,glanced,gorilla,glass,Sentence,1,Mod,tomgorillaglass_nopauses.mp3,tomgorillaglassmodright.png,tomgorillaglassinstleft.png,tomgorillaglassmodright.png,tomgorillaglassinstleft.png,1,mod,inst,R,L,607,2920,0.146304253,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillaglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillaglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgorillaglass_nopauses.mp3?raw=true
13,Post,29,Kate moved the frog with the pitchfork,moved,frog,pitchfork,Sentence,1,Mod,katefrogpitchfork_nopauses.mp3,katefrogpitchforkmodleft.png,katefrogpitchforkinstright.png,katefrogpitchforkinstright.png,katefrogpitchforkmodleft.png,2,inst,mod,L,R,378,2651,0.165162574,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogpitchforkinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogpitchforkmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefrogpitchfork_nopauses.mp3?raw=true
14,Post,60,Tom glanced at the hawk with the glass,glanced,hawk,glass,Sentence,1,Mod,tomhawkglass_nopauses.mp3,tomhawkglassmodright.png,tomhawkglassinstleft.png,tomhawkglassmodright.png,tomhawkglassinstleft.png,1,mod,inst,R,L,574,2789,0.165608487,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomhawkglass_nopauses.mp3?raw=true
15,Post,3,Kate located the fox with the glasses,located,fox,glasses,Sentence,1,Mod,katefoxglasses_nopauses.mp3,katefoxglassesmodleft.png,katefoxglassesinstright.png,katefoxglassesinstright.png,katefoxglassesmodleft.png,2,inst,mod,L,R,450,3017,0.225056163,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxglassesinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxglassesmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefoxglasses_nopauses.mp3?raw=true
16,Post,17,Kate felt the frog with the cloth,felt,frog,cloth,Sentence,1,Mod,katefrogcloth_nopauses.mp3,katefrogclothmodright.png,katefrogclothinstleft.png,katefrogclothmodright.png,katefrogclothinstleft.png,1,mod,inst,R,L,390,2212,0.242731814,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogclothmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogclothinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefrogcloth_nopauses.mp3?raw=true
17,Post,62,Tom inspected the cow with the microscope,inspected,cow,microscope,Sentence,1,Mod,tomcowmicroscope_nopauses.mp3,tomcowmicroscopemodleft.png,tomcowmicroscopeinstright.png,tomcowmicroscopeinstright.png,tomcowmicroscopemodleft.png,2,inst,mod,L,R,556,3183,0.24812017,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowmicroscopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowmicroscopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomcowmicroscope_nopauses.mp3?raw=true
18,Post,23,Kate felt the buffalo with the brush,felt,buffalo,brush,Sentence,1,Mod,katebuffalobrush_nopauses.mp3,katebuffalobrushmodright.png,katebuffalobrushinstleft.png,katebuffalobrushmodright.png,katebuffalobrushinstleft.png,1,mod,inst,R,L,390,2463,0.248731307,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalobrushmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalobrushinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffalobrush_nopauses.mp3?raw=true
19,Post,59,Kate glanced at the buffalo with the glass,glanced,buffalo,glass,Sentence,1,Mod,katebuffaloglass_nopauses.mp3,katebuffaloglassmodleft.png,katebuffaloglassinstright.png,katebuffaloglassinstright.png,katebuffaloglassmodleft.png,2,inst,mod,L,R,415,2823,0.259507322,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffaloglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffaloglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffaloglass_nopauses.mp3?raw=true
20,Post,55,Kate glanced at the pig with the glass,glanced,pig,glass,Sentence,1,Mod,katepigglass_nopauses.mp3,katepigglassmodleft.png,katepigglassinstright.png,katepigglassinstright.png,katepigglassmodleft.png,2,inst,mod,L,R,406,2632,0.263447775,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katepigglass_nopauses.mp3?raw=true
21,Post,8,Tom located the girl with the magnifying glass,located,girl,magnifyingglass,Sentence,1,Mod,tomgirlmagnifyingglass_nopauses.mp3,tomgirlmagnifyingglassmodright.png,tomgirlmagnifyingglassinstleft.png,tomgirlmagnifyingglassmodright.png,tomgirlmagnifyingglassinstleft.png,1,mod,inst,R,L,517,3762,0.271768877,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirlmagnifyingglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirlmagnifyingglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgirlmagnifyingglass_nopauses.mp3?raw=true
22,Post,28,Tom moved the lion with the pitchfork,moved,lion,pitchfork,Sentence,1,Mod,tomlionpitchfork_nopauses.mp3,tomlionpitchforkmodright.png,tomlionpitchforkinstleft.png,tomlionpitchforkmodright.png,tomlionpitchforkinstleft.png,1,mod,inst,R,L,516,2767,0.328758679,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionpitchforkmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionpitchforkinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlionpitchfork_nopauses.mp3?raw=true
23,Post,12,Tom located the hawk with the magnifying glass,located,hawk,magnifyingglass,Sentence,1,Mod,tomhawkmagnifyingglass_nopauses.mp3,tomhawkmagnifyingglassmodright.png,tomhawkmagnifyingglassinstleft.png,tomhawkmagnifyingglassmodright.png,tomhawkmagnifyingglassinstleft.png,1,mod,inst,R,L,564,3469,0.361616538,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkmagnifyingglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkmagnifyingglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomhawkmagnifyingglass_nopauses.mp3?raw=true
24,Post,6,Tom located the turtle with the glasses,located,turtle,glasses,Sentence,1,Mod,tomturtleglasses_nopauses.mp3,tomturtleglassesmodright.png,tomturtleglassesinstleft.png,tomturtleglassesmodright.png,tomturtleglassesinstleft.png,1,mod,inst,R,L,649,3064,0.39729845,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtleglassesmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtleglassesinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtleglasses_nopauses.mp3?raw=true
25,Post,34,Tom moved the gorilla with the tree branch,moved,gorilla,treebranch,Sentence,1,Mod,tomgorillatreebranch_nopauses.mp3,tomgorillatreebranchmodright.png,tomgorillatreebranchinstleft.png,tomgorillatreebranchmodright.png,tomgorillatreebranchinstleft.png,1,mod,inst,R,L,498,3058,0.401474474,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillatreebranchmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillatreebranchinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgorillatreebranch_nopauses.mp3?raw=true
26,Post,19,Kate felt the pig with the brush,felt,pig,brush,Sentence,1,Mod,katepigbrush_nopauses.mp3,katepigbrushmodright.png,katepigbrushinstleft.png,katepigbrushmodright.png,katepigbrushinstleft.png,1,mod,inst,R,L,379,2196,0.407140487,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigbrushmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigbrushinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katepigbrush_nopauses.mp3?raw=true
27,Post,66,Tom inspected the turtle with the microscope,inspected,turtle,microscope,Sentence,1,Mod,tomturtlemicroscope_nopauses.mp3,tomturtlemicroscopemodleft.png,tomturtlemicroscopeinstright.png,tomturtlemicroscopeinstright.png,tomturtlemicroscopemodleft.png,2,inst,mod,L,R,521,3091,0.415146166,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemicroscopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemicroscopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtlemicroscope_nopauses.mp3?raw=true
28,Post,14,Tom felt the cow with the cloth,felt,cow,cloth,Sentence,1,Mod,tomcowcloth_nopauses.mp3,tomcowclothmodleft.png,tomcowclothinstright.png,tomcowclothinstright.png,tomcowclothmodleft.png,2,inst,mod,L,R,540,2319,0.421203389,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowclothinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowclothmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomcowcloth_nopauses.mp3?raw=true
29,Post,22,Tom felt the gorilla with the brush,felt,gorilla,brush,Sentence,1,Mod,tomgorillabrush_nopauses.mp3,tomgorillabrushmodleft.png,tomgorillabrushinstright.png,tomgorillabrushinstright.png,tomgorillabrushmodleft.png,2,inst,mod,L,R,602,2620,0.42477402,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillabrushinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillabrushmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgorillabrush_nopauses.mp3?raw=true
30,Post,15,Kate felt the fox with the cloth,felt,fox,cloth,Sentence,1,Mod,katefoxcloth_nopauses.mp3,katefoxclothmodright.png,katefoxclothinstleft.png,katefoxclothmodright.png,katefoxclothinstleft.png,1,mod,inst,R,L,410,2397,0.443165097,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxclothmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxclothinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefoxcloth_nopauses.mp3?raw=true
31,Post,57,Kate glanced at the whale with the glass,glanced,whale,glass,Sentence,1,Mod,katewhaleglass_nopauses.mp3,katewhaleglassmodleft.png,katewhaleglassinstright.png,katewhaleglassinstright.png,katewhaleglassmodleft.png,2,inst,mod,L,R,375,2631,0.450295991,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhaleglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhaleglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katewhaleglass_nopauses.mp3?raw=true
32,Post,25,Kate moved the dolphin with the pitchfork,moved,dolphin,pitchfork,Sentence,1,Mod,katedolphinpitchfork_nopauses.mp3,katedolphinpitchforkmodleft.png,katedolphinpitchforkinstright.png,katedolphinpitchforkinstright.png,katedolphinpitchforkmodleft.png,2,inst,mod,L,R,429,2694,0.495489612,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinpitchforkinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinpitchforkmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katedolphinpitchfork_nopauses.mp3?raw=true
33,Post,7,Kate located the pig with the magnifying glass,located,pig,magnifyingglass,Sentence,1,Mod,katepigmagnifyingglass_nopauses.mp3,katepigmagnifyingglassmodleft.png,katepigmagnifyingglassinstright.png,katepigmagnifyingglassinstright.png,katepigmagnifyingglassmodleft.png,2,inst,mod,L,R,410,3319,0.514958462,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigmagnifyingglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigmagnifyingglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katepigmagnifyingglass_nopauses.mp3?raw=true
34,Post,10,Tom located the gorilla with the magnifying glass,located,gorilla,magnifyingglass,Sentence,1,Mod,tomgorillamagnifyingglass_nopauses.mp3,tomgorillamagnifyingglassmodright.png,tomgorillamagnifyingglassinstleft.png,tomgorillamagnifyingglassmodright.png,tomgorillamagnifyingglassinstleft.png,1,mod,inst,R,L,594,3922,0.520712441,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillamagnifyingglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillamagnifyingglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgorillamagnifyingglass_nopauses.mp3?raw=true
35,Post,71,Kate inspected the buffalo with the telescope,inspected,buffalo,telescope,Sentence,1,Mod,katebuffalotelescope_nopauses.mp3,katebuffalotelescopemodright.png,katebuffalotelescopeinstleft.png,katebuffalotelescopemodright.png,katebuffalotelescopeinstleft.png,1,mod,inst,R,L,369,3263,0.529069677,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotelescopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotelescopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffalotelescope_nopauses.mp3?raw=true
36,Post,16,Tom felt the lion with the cloth,felt,lion,cloth,Sentence,1,Mod,tomlioncloth_nopauses.mp3,tomlionclothmodleft.png,tomlionclothinstright.png,tomlionclothinstright.png,tomlionclothmodleft.png,2,inst,mod,L,R,574,2550,0.540763182,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionclothinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionclothmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlioncloth_nopauses.mp3?raw=true
37,Post,40,Tom chose the lion with the baseball bat,chose,lion,baseball bat,Sentence,1,Mod,tomlionbaseballbat_nopauses.mp3,tomlionbaseballbatmodleft.png,tomlionbaseballbatinstright.png,tomlionbaseballbatinstright.png,tomlionbaseballbatmodleft.png,2,inst,mod,L,R,574,3237,0.574662979,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionbaseballbatinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionbaseballbatmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlionbaseballbat_nopauses.mp3?raw=true
38,Post,53,Kate glanced at the frog with the mirror,glanced,frog,mirror,Sentence,1,Mod,katefrogmirror_nopauses.mp3,katefrogmirrormodleft.png,katefrogmirrorinstright.png,katefrogmirrorinstright.png,katefrogmirrormodleft.png,2,inst,mod,L,R,399,2790,0.575679896,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogmirrorinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogmirrormodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefrogmirror_nopauses.mp3?raw=true
39,Post,52,Tom glanced at the lion with the mirror,glanced,lion,mirror,Sentence,1,Mod,tomlionmirror_nopauses.mp3,tomlionmirrormodright.png,tomlionmirrorinstleft.png,tomlionmirrormodright.png,tomlionmirrorinstleft.png,1,mod,inst,R,L,553,2833,0.576182303,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionmirrormodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionmirrorinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlionmirror_nopauses.mp3?raw=true
40,Post,63,Kate inspected the fox with the microscope,inspected,fox,microscope,Sentence,1,Mod,katefoxmicroscope_nopauses.mp3,katefoxmicroscopemodright.png,katefoxmicroscopeinstleft.png,katefoxmicroscopemodright.png,katefoxmicroscopeinstleft.png,1,mod,inst,R,L,372,2984,0.592747677,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxmicroscopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxmicroscopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefoxmicroscope_nopauses.mp3?raw=true
41,Post,70,Tom inspected the gorilla with the telescope,inspected,gorilla,telescope,Sentence,1,Mod,tomgorillatelescope_nopauses.mp3,tomgorillatelescopemodleft.png,tomgorillatelescopeinstright.png,tomgorillatelescopeinstright.png,tomgorillatelescopemodleft.png,2,inst,mod,L,R,621,3447,0.600854749,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillatelescopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgorillatelescopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgorillatelescope_nopauses.mp3?raw=true
42,Post,64,Tom inspected the lion with the microscope,inspected,lion,microscope,Sentence,1,Mod,tomlionmicroscope_nopauses.mp3,tomlionmicroscopemodleft.png,tomlionmicroscopeinstright.png,tomlionmicroscopeinstright.png,tomlionmicroscopemodleft.png,2,inst,mod,L,R,507,3133,0.611639084,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionmicroscopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionmicroscopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlionmicroscope_nopauses.mp3?raw=true
43,Post,47,Kate chose the buffalo with the pen,chose,buffalo,pen,Sentence,1,Mod,katebuffalopen_nopauses.mp3,katebuffalopenmodright.png,katebuffalopeninstleft.png,katebuffalopenmodright.png,katebuffalopeninstleft.png,1,mod,inst,R,L,419,2521,0.61781304,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalopenmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalopeninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffalopen_nopauses.mp3?raw=true
44,Post,37,Kate chose the dolphin with the baseball bat,chose,dolphin,baseball bat,Sentence,1,Mod,katedolphinbaseballbat_nopauses.mp3,katedolphinbaseballbatmodright.png,katedolphinbaseballbatinstleft.png,katedolphinbaseballbatmodright.png,katedolphinbaseballbatinstleft.png,1,mod,inst,R,L,411,3098,0.623918854,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinbaseballbatmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinbaseballbatinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katedolphinbaseballbat_nopauses.mp3?raw=true
45,Post,54,Tom glanced at the turtle with the mirror,glanced,turtle,mirror,Sentence,1,Mod,tomturtlemirror_nopauses.mp3,tomturtlemirrormodright.png,tomturtlemirrorinstleft.png,tomturtlemirrormodright.png,tomturtlemirrorinstleft.png,1,mod,inst,R,L,577,2857,0.638939116,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemirrormodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlemirrorinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtlemirror_nopauses.mp3?raw=true
46,Post,1,Kate located the dolphin with the glasses,located,dolphin,glasses,Sentence,1,Mod,katedolphinglasses_nopauses.mp3,katedolphinglassesmodleft.png,katedolphinglassesinstright.png,katedolphinglassesinstright.png,katedolphinglassesmodleft.png,2,inst,mod,L,R,401,3078,0.645573704,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinglassesinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinglassesmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katedolphinglasses_nopauses.mp3?raw=true
47,Post,20,Tom felt the girl with the brush,felt,girl,brush,Sentence,1,Mod,tomgirlbrush_nopauses.mp3,tomgirlbrushmodleft.png,tomgirlbrushinstright.png,tomgirlbrushinstright.png,tomgirlbrushmodleft.png,2,inst,mod,L,R,518,2386,0.647032182,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirlbrushinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirlbrushmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgirlbrush_nopauses.mp3?raw=true
48,Post,61,Kate inspected the dolphin with the microscope,inspected,dolphin,microscope,Sentence,1,Mod,katedolphinmicroscope_nopauses.mp3,katedolphinmicroscopemodright.png,katedolphinmicroscopeinstleft.png,katedolphinmicroscopemodright.png,katedolphinmicroscopeinstleft.png,1,mod,inst,R,L,522,3172,0.67841529,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinmicroscopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinmicroscopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katedolphinmicroscope_nopauses.mp3?raw=true
49,Post,13,Kate felt the dolphin with the cloth,felt,dolphin,cloth,Sentence,1,Mod,katedolphincloth_nopauses.mp3,katedolphinclothmodright.png,katedolphinclothinstleft.png,katedolphinclothmodright.png,katedolphinclothinstleft.png,1,mod,inst,R,L,421,2407,0.680124096,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinclothmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinclothinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katedolphincloth_nopauses.mp3?raw=true
