TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
63,Post,35,Kate moved the buffalo with the tree branch,moved,buffalo,treebranch,Sentence,1,Mod,katebuffalotreebranch_nopauses.mp3,katebuffalotreebranchmodleft.png,katebuffalotreebranchinstright.png,katebuffalotreebranchinstright.png,katebuffalotreebranchmodleft.png,2,inst,mod,L,R,431,2928,0.890077279,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotreebranchinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotreebranchmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffalotreebranch_nopauses.mp3?raw=true
64,Post,43,Kate chose the pig with the pen,chose,pig,pen,Sentence,1,Mod,katepigpen_nopauses.mp3,katepigpenmodright.png,katepigpeninstleft.png,katepigpenmodright.png,katepigpeninstleft.png,1,mod,inst,R,L,447,2446,0.891360839,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigpenmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigpeninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katepigpen_nopauses.mp3?raw=true
65,Post,9,Kate located the whale with the magnifying glass,located,whale,magnifyingglass,Sentence,1,Mod,katewhalemagnifyingglass_nopauses.mp3,katewhalemagnifyingglassmodleft.png,katewhalemagnifyingglassinstright.png,katewhalemagnifyingglassinstright.png,katewhalemagnifyingglassmodleft.png,2,inst,mod,L,R,410,3716,0.891982115,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhalemagnifyingglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhalemagnifyingglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katewhalemagnifyingglass_nopauses.mp3?raw=true
66,Post,41,Kate chose the frog with the baseball bat,chose,frog,baseball bat,Sentence,1,Mod,katefrogbaseballbat_nopauses.mp3,katefrogbaseballbatmodright.png,katefrogbaseballbatinstleft.png,katefrogbaseballbatmodright.png,katefrogbaseballbatinstleft.png,1,mod,inst,R,L,457,2959,0.899745701,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogbaseballbatmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogbaseballbatinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefrogbaseballbat_nopauses.mp3?raw=true
67,Post,11,Kate located the buffalo with the magnifying glass,located,buffalo,magnifyingglass,Sentence,1,Mod,katebuffalomagnifyingglass_nopauses.mp3,katebuffalomagnifyingglassmodleft.png,katebuffalomagnifyingglassinstright.png,katebuffalomagnifyingglassinstright.png,katebuffalomagnifyingglassmodleft.png,2,inst,mod,L,R,411,3570,0.915867437,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalomagnifyingglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalomagnifyingglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffalomagnifyingglass_nopauses.mp3?raw=true
68,Post,30,Tom moved the turtle with the pitchfork,moved,turtle,pitchfork,Sentence,1,Mod,tomturtlepitchfork_nopauses.mp3,tomturtlepitchforkmodright.png,tomturtlepitchforkinstleft.png,tomturtlepitchforkmodright.png,tomturtlepitchforkinstleft.png,1,mod,inst,R,L,514,2964,0.940645692,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlepitchforkmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlepitchforkinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtlepitchfork_nopauses.mp3?raw=true
69,Post,67,Kate inspected the pig with the telescope,inspected,pig,telescope,Sentence,1,Mod,katepigtelescope_nopauses.mp3,katepigtelescopemodright.png,katepigtelescopeinstleft.png,katepigtelescopemodright.png,katepigtelescopeinstleft.png,1,mod,inst,R,L,421,2935,0.955082752,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigtelescopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigtelescopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katepigtelescope_nopauses.mp3?raw=true
70,Post,2,Tom located the cow with the glasses,located,cow,glasses,Sentence,1,Mod,tomcowglasses_nopauses.mp3,tomcowglassesmodright.png,tomcowglassesinstleft.png,tomcowglassesmodright.png,tomcowglassesinstleft.png,1,mod,inst,R,L,697,3205,0.962245916,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowglassesmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowglassesinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomcowglasses_nopauses.mp3?raw=true
71,Post,32,Tom moved the girl with the tree branch,moved,girl,treebranch,Sentence,1,Mod,tomgirltreebranch_nopauses.mp3,tomgirltreebranchmodright.png,tomgirltreebranchinstleft.png,tomgirltreebranchmodright.png,tomgirltreebranchinstleft.png,1,mod,inst,R,L,480,2834,0.978430916,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirltreebranchmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirltreebranchinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgirltreebranch_nopauses.mp3?raw=true
72,Post,48,Tom chose the hawk with the pen,chose,hawk,pen,Sentence,1,Mod,tomhawkpen_nopauses.mp3,tomhawkpenmodleft.png,tomhawkpeninstright.png,tomhawkpeninstright.png,tomhawkpenmodleft.png,2,inst,mod,L,R,473,2387,0.99369078,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkpeninstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkpenmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomhawkpen_nopauses.mp3?raw=true
