group,TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
B,11,Post,68,Tom inspected the girl with the telescope,inspected,girl,telescope,Sentence,1,ModControl,tomgirltelescope_nopauses.mp3,tomgirltelescopemodleft.png,tomgirltelescopeinstright.png,tomgirltelescopeinstright.png,tomgirltelescopemodleft.png,2,inst,mod,L,R,542,2893,0.183383242,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirltelescopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirltelescopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgirltelescope_nopauses.mp3?raw=true
B,12,Post,50,Tom glanced at the cow with the mirror,glanced,cow,mirror,Sentence,1,ModControl,tomcowmirror_nopauses.mp3,tomcowmirrormodright.png,tomcowmirrorinstleft.png,tomcowmirrormodright.png,tomcowmirrorinstleft.png,1,mod,inst,R,L,631,2921,0.205025178,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowmirrormodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomcowmirrorinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomcowmirror_nopauses.mp3?raw=true
B,13,Post,71,Kate inspected the buffalo with the telescope,inspected,buffalo,telescope,Sentence,1,ModControl,katebuffalotelescope_nopauses.mp3,katebuffalotelescopemodright.png,katebuffalotelescopeinstleft.png,katebuffalotelescopemodright.png,katebuffalotelescopeinstleft.png,1,mod,inst,R,L,369,3263,0.213718275,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotelescopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katebuffalotelescopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katebuffalotelescope_nopauses.mp3?raw=true
B,14,Post,40,Tom chose the lion with the baseball bat,chose,lion,baseball bat,Sentence,1,ModControl,tomlionbaseballbat_nopauses.mp3,tomlionbaseballbatmodleft.png,tomlionbaseballbatinstright.png,tomlionbaseballbatinstright.png,tomlionbaseballbatmodleft.png,2,inst,mod,L,R,574,3237,0.233653225,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionbaseballbatinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionbaseballbatmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlionbaseballbat_nopauses.mp3?raw=true
B,15,Post,61,Kate inspected the dolphin with the microscope,inspected,dolphin,microscope,Sentence,1,ModControl,katedolphinmicroscope_nopauses.mp3,katedolphinmicroscopemodright.png,katedolphinmicroscopeinstleft.png,katedolphinmicroscopemodright.png,katedolphinmicroscopeinstleft.png,1,mod,inst,R,L,522,3172,0.234259395,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinmicroscopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinmicroscopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katedolphinmicroscope_nopauses.mp3?raw=true
B,16,Post,16,Tom felt the lion with the cloth,felt,lion,cloth,Sentence,1,ModControl,tomlioncloth_nopauses.mp3,tomlionclothmodleft.png,tomlionclothinstright.png,tomlionclothinstright.png,tomlionclothmodleft.png,2,inst,mod,L,R,574,2550,0.259364818,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionclothinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionclothmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlioncloth_nopauses.mp3?raw=true
B,17,Post,24,Tom felt the hawk with the brush,felt,hawk,brush,Sentence,1,ModControl,tomhawkbrush_nopauses.mp3,tomhawkbrushmodleft.png,tomhawkbrushinstright.png,tomhawkbrushinstright.png,tomhawkbrushmodleft.png,2,inst,mod,L,R,488,2359,0.260261609,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkbrushinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawkbrushmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomhawkbrush_nopauses.mp3?raw=true
B,18,Post,39,Kate chose the fox with the baseball bat,chose,fox,baseball bat,Sentence,1,ModControl,katefoxbaseballbat_nopauses.mp3,katefoxbaseballbatmodright.png,katefoxbaseballbatinstleft.png,katefoxbaseballbatmodright.png,katefoxbaseballbatinstleft.png,1,mod,inst,R,L,407,3056,0.261876979,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxbaseballbatmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxbaseballbatinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefoxbaseballbat_nopauses.mp3?raw=true
B,19,Post,57,Kate glanced at the whale with the glass,glanced,whale,glass,Sentence,1,ModControl,katewhaleglass_nopauses.mp3,katewhaleglassmodleft.png,katewhaleglassinstright.png,katewhaleglassinstright.png,katewhaleglassmodleft.png,2,inst,mod,L,R,375,2631,0.274269874,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhaleglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhaleglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katewhaleglass_nopauses.mp3?raw=true
B,20,Post,4,Tom located the lion with the glasses,located,lion,glasses,Sentence,1,ModControl,tomlionglasses_nopauses.mp3,tomlionglassesmodright.png,tomlionglassesinstleft.png,tomlionglassesmodright.png,tomlionglassesinstleft.png,1,mod,inst,R,L,614,3187,0.275228092,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionglassesmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionglassesinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlionglasses_nopauses.mp3?raw=true
