Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
B,Pre,92,Tom rubbed the girl with the eraser,rubbed,girl,eraser,girltennisracket,Sentence,2,Inst,tomgirleraser_nopauses.mp3,tomgirleraserinstright2_context.png,tomgirlerasermodleft2_context.png,tomgirleraserinstright2_context.png,tomgirlerasermodleft2_context.png,1,inst,mod,L,R,569,3262,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirleraserinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlerasermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgirleraser_nopauses.mp3?raw=true,0.221894225
B,Pre,5,Kate covered the frog with the fern,covered,frog,fern,frogladle,Sentence,2,Inst,katefrogfern_nopauses.mp3,katefrogferninstright2_context.png,katefrogfernmodleft2_context.png,katefrogferninstright2_context.png,katefrogfernmodleft2_context.png,1,inst,mod,L,R,393,2601,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogferninstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogfernmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefrogfern_nopauses.mp3?raw=true,0.229967617
B,Pre,126,Tom slapped the turtle with the net,slapped,turtle,net,turtleladle,Sentence,2,Inst,tomturtlenet_nopauses.mp3,tomturtlenetinstleft2_context.png,tomturtlenetmodright2_context.png,tomturtlenetmodright2_context.png,tomturtlenetinstleft2_context.png,2,mod,inst,R,L,590,2878,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomturtlenetmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomturtlenetinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomturtlenet_nopauses.mp3?raw=true,0.230343828
B,Pre,32,Tom knocked on the girl with the cucumber,knocked on,girl,cucumber,girlmallet,Sentence,2,Inst,tomgirlcucumber_nopauses.mp3,tomgirlcucumberinstleft2_context.png,tomgirlcucumbermodright2_context.png,tomgirlcucumbermodright2_context.png,tomgirlcucumberinstleft2_context.png,2,mod,inst,R,L,532,2974,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlcucumbermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlcucumberinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgirlcucumber_nopauses.mp3?raw=true,0.232179793
B,Pre,122,Tom slapped the cow with the net,slapped,cow,net,cowladle,Sentence,2,Inst,tomcownet_nopauses.mp3,tomcownetinstleft2_context.png,tomcownetmodright2_context.png,tomcownetmodright2_context.png,tomcownetinstleft2_context.png,2,mod,inst,R,L,619,3061,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomcownetmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomcownetinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomcownet_nopauses.mp3?raw=true,0.235661855
B,Pre,100,Tom crushed the lion with the flower,crushed,lion,flower,lionladle,Sentence,2,Inst,tomlionflower_nopauses.mp3,tomlionflowerinstleft2_context.png,tomlionflowermodright2_context.png,tomlionflowermodright2_context.png,tomlionflowerinstleft2_context.png,2,mod,inst,R,L,556,3015,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionflowermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomlionflowerinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomlionflower_nopauses.mp3?raw=true,0.239788895
B,Pre,11,Kate covered the buffalo with the water,covered,buffalo,water,buffalomallet,Sentence,2,Inst,katebuffalowater_nopauses.mp3,katebuffalowaterinstright2_context.png,katebuffalowatermodleft2_context.png,katebuffalowaterinstright2_context.png,katebuffalowatermodleft2_context.png,1,inst,mod,L,R,375,2547,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalowaterinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalowatermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffalowater_nopauses.mp3?raw=true,0.255386086
B,Pre,33,Kate knocked on the whale with the cucumber,knocked on,whale,cucumber,whalemallet,Sentence,2,Inst,katewhalecucumber_nopauses.mp3,katewhalecucumberinstright2_context.png,katewhalecucumbermodleft2_context.png,katewhalecucumberinstright2_context.png,katewhalecucumbermodleft2_context.png,1,inst,mod,L,R,388,2879,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalecucumberinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalecucumbermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katewhalecucumber_nopauses.mp3?raw=true,0.255623094
B,Pre,29,Kate knocked on the frog with the tomato,knocked on,frog,tomato,frogladle,Sentence,2,Inst,katefrogtomato_nopauses.mp3,katefrogtomatoinstright2_context.png,katefrogtomatomodleft2_context.png,katefrogtomatoinstright2_context.png,katefrogtomatomodleft2_context.png,1,inst,mod,L,R,356,2789,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogtomatoinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogtomatomodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefrogtomato_nopauses.mp3?raw=true,0.255712687
B,Pre,21,Kate hit the whale with the ball,hit,whale,ball,whaletennisracket,Sentence,2,Inst,katewhaleball_nopauses.mp3,katewhaleballinstleft2_context.png,katewhaleballmodright2_context.png,katewhaleballmodright2_context.png,katewhaleballinstleft2_context.png,2,mod,inst,R,L,384,2083,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhaleballmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhaleballinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katewhaleball_nopauses.mp3?raw=true,0.256091046
