Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
D,Training,25,Kate knocked on the dolphin with the pan,knocked on,dolphin,pan,dolphinladle,Sentence,2,InstControl,1,katedolphinpan_nopauses.mp3,katedolphinpaninstright2_context.png,katedolphinpanmodleft2_context.png,katedolphinpaninstright2_context.png,katedolphinpanmodleft2_context.png,1,inst,mod,L,R,468,3320,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katedolphinpaninstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katedolphinpanmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katedolphinpan_nopauses.mp3?raw=true,0.002121936
D,Training,25,Who did it?,knocked on,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,tom.png,kate.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.002121936
D,Training,143,Kate smashed the buffalo with the rope,smashed,buffalo,rope,buffalotennisracket,Sentence,2,InstControl,11,katebuffalorope_nopauses.mp3,katebuffaloropeinstleft2_context.png,katebuffaloropemodright2_context.png,katebuffaloropemodright2_context.png,katebuffaloropeinstleft2_context.png,2,mod,inst,R,L,360,2949,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffaloropemodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffaloropeinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katebuffalorope_nopauses.mp3?raw=true,0.003370318
D,Training,143,Who did it?,smashed,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.003370318
D,Training,119,Kate stung the buffalo with the pin,stung,buffalo,pin,buffalotennisracket,Sentence,2,InstControl,11,katebuffalopin_nopauses.mp3,katebuffalopininstleft2_context.png,katebuffalopinmodright2_context.png,katebuffalopinmodright2_context.png,katebuffalopininstleft2_context.png,2,mod,inst,R,L,418,2926,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalopinmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalopininstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katebuffalopin_nopauses.mp3?raw=true,0.010554866
D,Training,119,Who did it?,stung,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.010554866
D,Training,55,Kate tapped the pig with the jewel,tapped,pig,jewel,pigmallet,Sentence,2,InstControl,7,katepigjewel_nopauses.mp3,katepigjewelinstright2_context.png,katepigjewelmodleft2_context.png,katepigjewelinstright2_context.png,katepigjewelmodleft2_context.png,1,inst,mod,L,R,409,2708,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigjewelinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigjewelmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katepigjewel_nopauses.mp3?raw=true,0.016069938
D,Training,55,Who did not do it?,tapped,NA,NA,NA,Question_Control,2,InstControl,,whodidnotdoit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,1498,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidnotdoit.mp3?raw=true,0.016069938
D,Training,26,Tom knocked on the cow with the pan,knocked on,cow,pan,cowladle,Sentence,2,InstControl,2,tomcowpan_nopauses.mp3,tomcowpaninstleft2_context.png,tomcowpanmodright2_context.png,tomcowpanmodright2_context.png,tomcowpaninstleft2_context.png,2,mod,inst,R,L,651,3119,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowpanmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowpaninstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomcowpan_nopauses.mp3?raw=true,0.021453539
D,Training,26,Who did it?,knocked on,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,kate.png,tom.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.021453539
D,Training,24,Tom hit the hawk with the leaf,hit,hawk,leaf,hawktennisracket,Sentence,2,InstControl,12,tomhawkleaf_nopauses.mp3,tomhawkleafinstright2_context.png,tomhawkleafmodleft2_context.png,tomhawkleafinstright2_context.png,tomhawkleafmodleft2_context.png,1,inst,mod,L,R,555,2696,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkleafinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkleafmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomhawkleaf_nopauses.mp3?raw=true,0.022908279
D,Training,24,Who did it? ,hit,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.022908279
D,Training,140,Tom smashed the girl with the rope,smashed,girl,rope,girltennisracket,Sentence,2,InstControl,8,tomgirlrope_nopauses.mp3,tomgirlropeinstright2_context.png,tomgirlropemodleft2_context.png,tomgirlropeinstright2_context.png,tomgirlropemodleft2_context.png,1,inst,mod,L,R,557,2914,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlropeinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlropemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgirlrope_nopauses.mp3?raw=true,0.027913642
D,Training,140,Who did it?,smashed,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.027913642
D,Training,64,Tom scratched the lion with the chopsticks,scratched,lion,chopsticks,lionoar,Sentence,2,InstControl,4,tomlionchopsticks_nopauses.mp3,tomlionchopsticksinstright2_context.png,tomlionchopsticksmodleft2_context.png,tomlionchopsticksinstright2_context.png,tomlionchopsticksmodleft2_context.png,1,inst,mod,L,R,592,3603,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomlionchopsticksinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomlionchopsticksmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomlionchopsticks_nopauses.mp3?raw=true,0.036519255
D,Training,64,Who did it?,scratched,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.036519255
D,Training,131,Kate slapped the buffalo with the spatula,slapped,buffalo,spatula,buffalomallet,Sentence,2,InstControl,11,katebuffalospatula_nopauses.mp3,katebuffalospatulainstright2_context.png,katebuffalospatulamodleft2_context.png,katebuffalospatulainstright2_context.png,katebuffalospatulamodleft2_context.png,1,inst,mod,L,R,406,3274,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalospatulainstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalospatulamodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katebuffalospatula_nopauses.mp3?raw=true,0.04836575
D,Training,131,Who did it?,slapped,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.04836575
D,Training,93,Kate rubbed the whale with the megaphone,rubbed,whale,megaphone,whaletennisracket,Sentence,2,InstControl,9,katewhalemegaphone_nopauses.mp3,katewhalemegaphoneinstleft2_context.png,katewhalemegaphonemodright2_context.png,katewhalemegaphonemodright2_context.png,katewhalemegaphoneinstleft2_context.png,2,mod,inst,R,L,432,3160,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katewhalemegaphonemodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katewhalemegaphoneinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katewhalemegaphone_nopauses.mp3?raw=true,0.064988988
D,Training,93,Who did it?,rubbed,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,tom.png,kate.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.064988988
