Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
D,Training,80,Tom jabbed the girl with the sack,jabbed,girl,sack,girlmallet,Sentence,2,InstControl,8,tomgirlsack_nopauses.mp3,tomgirlsackinstleft2_context.png,tomgirlsackmodright2_context.png,tomgirlsackmodright2_context.png,tomgirlsackinstleft2_context.png,2,mod,inst,R,L,727,3155,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlsackmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlsackinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgirlsack_nopauses.mp3?raw=true,0.068400359
D,Training,80,Who did it?,jabbed,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.068400359
D,Training,84,Tom jabbed the hawk with the sack,jabbed,hawk,sack,hawkmallet,Sentence,2,InstControl,12,tomhawksack_nopauses.mp3,tomhawksackinstleft2_context.png,tomhawksackmodright2_context.png,tomhawksackmodright2_context.png,tomhawksackinstleft2_context.png,2,mod,inst,R,L,701,2992,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawksackmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawksackinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomhawksack_nopauses.mp3?raw=true,0.070309598
D,Training,84,Who did it?,jabbed,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.070309598
D,Training,65,Kate scratched the frog with the chopsticks,scratched,frog,chopsticks,frogoar,Sentence,2,InstControl,5,katefrogchopsticks_nopauses.mp3,katefrogchopsticksinstleft2_context.png,katefrogchopsticksmodright2_context.png,katefrogchopsticksmodright2_context.png,katefrogchopsticksinstleft2_context.png,2,mod,inst,R,L,414,3449,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katefrogchopsticksmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katefrogchopsticksinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katefrogchopsticks_nopauses.mp3?raw=true,0.071576354
D,Training,65,Who did it?,scratched,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,tom.png,kate.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.071576354
D,Training,127,Kate slapped the pig with the spatula,slapped,pig,spatula,pigmallet,Sentence,2,InstControl,7,katepigspatula_nopauses.mp3,katepigspatulainstright2_context.png,katepigspatulamodleft2_context.png,katepigspatulainstright2_context.png,katepigspatulamodleft2_context.png,1,inst,mod,L,R,373,3132,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigspatulainstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigspatulamodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katepigspatula_nopauses.mp3?raw=true,0.07926967
D,Training,127,Who did it?,slapped,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.07926967
D,Training,2,Tom covered the cow with the feather,covered,cow,feather,cowladle,Sentence,2,InstControl,2,tomcowfeather_nopauses.mp3,tomcowfeatherinstleft2_context.png,tomcowfeathermodright2_context.png,tomcowfeathermodright2_context.png,tomcowfeatherinstleft2_context.png,2,mod,inst,R,L,628,2970,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowfeathermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowfeatherinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomcowfeather_nopauses.mp3?raw=true,0.094439785
D,Training,2,Who did it? ,covered,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,kate.png,tom.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.094439785
D,Training,40,Tom hammered the lion with the sticky note,hammered,lion,sticky note,lionoar,Sentence,2,InstControl,4,tomlionstickynote_nopauses.mp3,tomlionstickynoteinstright2_context.png,tomlionstickynotemodleft2_context.png,tomlionstickynoteinstright2_context.png,tomlionstickynotemodleft2_context.png,1,inst,mod,L,R,572,3126,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomlionstickynoteinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomlionstickynotemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomlionstickynote_nopauses.mp3?raw=true,0.111302137
D,Training,40,Who did not do it?,hammered,NA,NA,NA,Question_Control,2,InstControl,,whodidnotdoit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,1498,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidnotdoit.mp3?raw=true,0.111302137
D,Training,79,Kate jabbed the pig with the sack,jabbed,pig,sack,pigmallet,Sentence,2,InstControl,7,katepigsack_nopauses.mp3,katepigsackinstright2_context.png,katepigsackmodleft2_context.png,katepigsackinstright2_context.png,katepigsackmodleft2_context.png,1,inst,mod,L,R,406,2794,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigsackinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigsackmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katepigsack_nopauses.mp3?raw=true,0.114229765
D,Training,79,Who did it?,jabbed,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.114229765
D,Training,139,Kate smashed the pig with the rope,smashed,pig,rope,pigtennisracket,Sentence,2,InstControl,7,katepigrope_nopauses.mp3,katepigropeinstleft2_context.png,katepigropemodright2_context.png,katepigropemodright2_context.png,katepigropeinstleft2_context.png,2,mod,inst,R,L,383,2740,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigropemodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigropeinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katepigrope_nopauses.mp3?raw=true,0.127115061
D,Training,139,Who did it?,smashed,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.127115061
D,Training,57,Kate tapped the whale with the jewel,tapped,whale,jewel,whalemallet,Sentence,2,InstControl,9,katewhalejewel_nopauses.mp3,katewhalejewelinstright2_context.png,katewhalejewelmodleft2_context.png,katewhalejewelinstright2_context.png,katewhalejewelmodleft2_context.png,1,inst,mod,L,R,370,2564,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katewhalejewelinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katewhalejewelmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katewhalejewel_nopauses.mp3?raw=true,0.127962282
D,Training,57,Who did it?,tapped,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,kate.png,tom.png,tom.png,kate.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.127962282
D,Training,44,Tom hammered the girl with the tape,hammered,girl,tape,girltennisracket,Sentence,2,InstControl,8,tomgirltape_nopauses.mp3,tomgirltapeinstright2_context.png,tomgirltapemodleft2_context.png,tomgirltapeinstright2_context.png,tomgirltapemodleft2_context.png,1,inst,mod,L,R,572,2732,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirltapeinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirltapemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgirltape_nopauses.mp3?raw=true,0.128972755
D,Training,44,Who did it?,hammered,NA,NA,NA,Question_Control,2,InstControl,,whodidit.mp3,tom.png,kate.png,tom.png,kate.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidit.mp3?raw=true,0.128972755
D,Training,144,Tom smashed the hawk with the rope,smashed,hawk,rope,hawktennisracket,Sentence,2,InstControl,12,tomhawkrope_nopauses.mp3,tomhawkropeinstright2_context.png,tomhawkropemodleft2_context.png,tomhawkropeinstright2_context.png,tomhawkropemodleft2_context.png,1,inst,mod,L,R,546,2844,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkropeinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkropemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomhawkrope_nopauses.mp3?raw=true,0.135604118
D,Training,144,Who did not do it?,smashed,NA,NA,NA,Question_Control,2,InstControl,,whodidnotdoit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,1498,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whodidnotdoit.mp3?raw=true,0.135604118
