Group,Block,TrialOrder,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
C,Post,24,71,Kate scratched the buffalo with the sandpaper,scratched,buffalo,sandpaper,buffalooar,Sentence,1,InstControl,,katebuffalosandpaper_nopauses.mp3,katebuffalosandpaperinstleft_context.png,katebuffalosandpapermodright_context.png,katebuffalosandpapermodright_context.png,katebuffalosandpaperinstleft_context.png,2,mod,inst,R,L,389,3310,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalosandpapermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalosandpaperinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffalosandpaper_nopauses.mp3?raw=true,0.140367239
C,Post,25,81,Kate jabbed the whale with the carrot,jabbed,whale,carrot,whaleladle,Sentence,1,InstControl,,katewhalecarrot_nopauses.mp3,katewhalecarrotinstright_context.png,katewhalecarrotmodleft_context.png,katewhalecarrotinstright_context.png,katewhalecarrotmodleft_context.png,1,inst,mod,L,R,342,2796,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalecarrotinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalecarrotmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhalecarrot_nopauses.mp3?raw=true,0.143887508
C,Post,26,132,Tom slapped the hawk with the notebook,slapped,hawk,notebook,hawkladle,Sentence,1,InstControl,,tomhawknotebook_nopauses.mp3,tomhawknotebookinstleft_context.png,tomhawknotebookmodright_context.png,tomhawknotebookmodright_context.png,tomhawknotebookinstleft_context.png,2,mod,inst,R,L,585,2979,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawknotebookmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomhawknotebookinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomhawknotebook_nopauses.mp3?raw=true,0.150010194
C,Post,27,3,Kate covered the fox with the fern,covered,fox,fern,foxmallet,Sentence,1,InstControl,,katefoxfern_nopauses.mp3,katefoxferninstright_context.png,katefoxfernmodleft_context.png,katefoxferninstright_context.png,katefoxfernmodleft_context.png,1,inst,mod,L,R,380,2686,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxferninstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxfernmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefoxfern_nopauses.mp3?raw=true,0.16230271
C,Post,28,27,Kate knocked on the fox with the tomato,knocked on,fox,tomato,foxmallet,Sentence,1,InstControl,,katefoxtomato_nopauses.mp3,katefoxtomatoinstright_context.png,katefoxtomatomodleft_context.png,katefoxtomatoinstright_context.png,katefoxtomatomodleft_context.png,1,inst,mod,L,R,400,2776,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxtomatoinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefoxtomatomodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefoxtomato_nopauses.mp3?raw=true,0.185530635
C,Post,29,110,Tom stung the cow with the lightning bolt,stung,cow,lightning bolt,cowtennisracket,Sentence,1,InstControl,,tomcowlightningbolt_nopauses.mp3,tomcowlightningboltinstright_context.png,tomcowlightningboltmodleft_context.png,tomcowlightningboltinstright_context.png,tomcowlightningboltmodleft_context.png,1,inst,mod,L,R,576,3056,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowlightningboltinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowlightningboltmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomcowlightningbolt_nopauses.mp3?raw=true,0.188751106
C,Post,30,80,Tom jabbed the girl with the carrot,jabbed,girl,carrot,girlladle,Sentence,1,InstControl,,tomgirlcarrot_nopauses.mp3,tomgirlcarrotinstleft_context.png,tomgirlcarrotmodright_context.png,tomgirlcarrotmodright_context.png,tomgirlcarrotinstleft_context.png,2,mod,inst,R,L,650,3121,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlcarrotmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlcarrotinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomgirlcarrot_nopauses.mp3?raw=true,0.195341496
C,Post,31,14,Tom hit the cow with the oven mitt,hit,cow,oven mitt,cowtennisracket,Sentence,1,InstControl,,tomcowovenmitt_nopauses.mp3,tomcowovenmittinstright_context.png,tomcowovenmittmodleft_context.png,tomcowovenmittinstright_context.png,tomcowovenmittmodleft_context.png,1,inst,mod,L,R,558,2448,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowovenmittinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowovenmittmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomcowovenmitt_nopauses.mp3?raw=true,0.207299691
C,Post,32,52,Tom tapped the lion with the magic wand,tapped,lion,magic wand,lionmallet,Sentence,1,InstControl,,tomlionmagicwand_nopauses.mp3,tomlionmagicwandinstleft_context.png,tomlionmagicwandmodright_context.png,tomlionmagicwandmodright_context.png,tomlionmagicwandinstleft_context.png,2,mod,inst,R,L,512,3209,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionmagicwandmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionmagicwandinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomlionmagicwand_nopauses.mp3?raw=true,0.211781171
C,Post,33,83,Kate jabbed the buffalo with the carrot,jabbed,buffalo,carrot,buffaloladle,Sentence,1,InstControl,,katebuffalocarrot_nopauses.mp3,katebuffalocarrotinstright_context.png,katebuffalocarrotmodleft_context.png,katebuffalocarrotinstright_context.png,katebuffalocarrotmodleft_context.png,1,inst,mod,L,R,407,3085,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalocarrotinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalocarrotmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffalocarrot_nopauses.mp3?raw=true,0.218398807
C,Post,34,95,Kate rubbed the buffalo with the eraser,rubbed,buffalo,eraser,buffalooar,Sentence,1,InstControl,,katebuffaloeraser_nopauses.mp3,katebuffaloeraserinstleft_context.png,katebuffaloerasermodright_context.png,katebuffaloerasermodright_context.png,katebuffaloeraserinstleft_context.png,2,mod,inst,R,L,393,3261,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffaloerasermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffaloeraserinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffaloeraser_nopauses.mp3?raw=true,0.220402035
