Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
C,Pre,95,Tom rubbed the buffalo with the soap,rubbed,buffalo,soap,buffalooar,Sentence,1,InstControl,tombuffalosoap_nopauses.mp3,tombuffalosoapinstright_context.png,tombuffalosoapmodleft_context.png,tombuffalosoapinstright_context.png,tombuffalosoapmodleft_context.png,1,inst,mod,L,R,563,2963,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalosoapinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalosoapmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tombuffalosoap_nopauses.mp3?raw=true,0.005536812
C,Pre,113,Tom stung the frog with the cactus,stung,frog,cactus,frogtennisracket,Sentence,1,InstControl,tomfrogcactus_nopauses.mp3,tomfrogcactusinstright_context.png,tomfrogcactusmodleft_context.png,tomfrogcactusinstright_context.png,tomfrogcactusmodleft_context.png,1,inst,mod,L,R,624,3468,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfrogcactusinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfrogcactusmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfrogcactus_nopauses.mp3?raw=true,0.015381725
C,Pre,62,Kate scratched the cow with the sandpaper,scratched,cow,sandpaper,cowtennisracket,Sentence,1,InstControl,katecowsandpaper_nopauses.mp3,katecowsandpaperinstleft_context.png,katecowsandpapermodright_context.png,katecowsandpapermodright_context.png,katecowsandpaperinstleft_context.png,2,mod,inst,R,L,444,3286,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katecowsandpapermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katecowsandpaperinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katecowsandpaper_nopauses.mp3?raw=true,0.031357469
C,Pre,118,Kate stung the gorilla with the lightning bolt,stung,gorilla,lightning bolt,gorillaoar,Sentence,1,InstControl,kategorillalightningbolt_nopauses.mp3,kategorillalightningboltinstleft_context.png,kategorillalightningboltmodright_context.png,kategorillalightningboltmodright_context.png,kategorillalightningboltinstleft_context.png,2,mod,inst,R,L,447,3601,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategorillalightningboltmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategorillalightningboltinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kategorillalightningbolt_nopauses.mp3?raw=true,0.03966615
C,Pre,28,Kate knocked on the lion with the cucumber,knocked on,lion,cucumber,lionmallet,Sentence,1,InstControl,katelioncucumber_nopauses.mp3,katelioncucumberinstright_context.png,katelioncucumbermodleft_context.png,katelioncucumberinstright_context.png,katelioncucumbermodleft_context.png,1,inst,mod,L,R,427,3152,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katelioncucumberinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katelioncucumbermodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katelioncucumber_nopauses.mp3?raw=true,0.059383423
C,Pre,48,Kate hammered the hawk with the rock,hammered,hawk,rock,hawkoar,Sentence,1,InstControl,katehawkrock_nopauses.mp3,katehawkrockinstleft_context.png,katehawkrockmodright_context.png,katehawkrockmodright_context.png,katehawkrockinstleft_context.png,2,mod,inst,R,L,491,2701,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawkrockmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katehawkrockinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katehawkrock_nopauses.mp3?raw=true,0.08740101
C,Pre,119,Tom stung the buffalo with the lightning bolt,stung,buffalo,lightning bolt,buffalooar,Sentence,1,InstControl,tombuffalolightningbolt_nopauses.mp3,tombuffalolightningboltinstright_context.png,tombuffalolightningboltmodleft_context.png,tombuffalolightningboltinstright_context.png,tombuffalolightningboltmodleft_context.png,1,inst,mod,L,R,562,3455,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalolightningboltinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalolightningboltmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tombuffalolightningbolt_nopauses.mp3?raw=true,0.09211685
C,Pre,111,Tom stung the fox with the cactus,stung,fox,cactus,foxtennisracket,Sentence,1,InstControl,tomfoxcactus_nopauses.mp3,tomfoxcactusinstright_context.png,tomfoxcactusmodleft_context.png,tomfoxcactusinstright_context.png,tomfoxcactusmodleft_context.png,1,inst,mod,L,R,681,3469,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxcactusinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxcactusmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfoxcactus_nopauses.mp3?raw=true,0.096243547
C,Pre,21,Tom hit the whale with the oven mitt,hit,whale,oven mitt,whaleoar,Sentence,1,InstControl,tomwhaleovenmitt_nopauses.mp3,tomwhaleovenmittinstright_context.png,tomwhaleovenmittmodleft_context.png,tomwhaleovenmittinstright_context.png,tomwhaleovenmittmodleft_context.png,1,inst,mod,L,R,568,2458,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhaleovenmittinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhaleovenmittmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomwhaleovenmitt_nopauses.mp3?raw=true,0.134445693
C,Pre,85,Tom rubbed the dolphin with the eraser,rubbed,dolphin,eraser,dolphintennisracket,Sentence,1,InstControl,tomdolphineraser_nopauses.mp3,tomdolphineraserinstright_context.png,tomdolphinerasermodleft_context.png,tomdolphineraserinstright_context.png,tomdolphinerasermodleft_context.png,1,inst,mod,L,R,583,3238,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphineraserinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinerasermodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomdolphineraser_nopauses.mp3?raw=true,0.137008529
C,Pre,67,Tom scratched the pig with the coral,scratched,pig,coral,pigoar,Sentence,1,InstControl,tompigcoral_nopauses.mp3,tompigcoralinstright_context.png,tompigcoralmodleft_context.png,tompigcoralinstright_context.png,tompigcoralmodleft_context.png,1,inst,mod,L,R,545,2828,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigcoralinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigcoralmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tompigcoral_nopauses.mp3?raw=true,0.140069006
C,Pre,43,Tom hammered the pig with the rock,hammered,pig,rock,pigoar,Sentence,1,InstControl,tompigrock_nopauses.mp3,tompigrockinstright_context.png,tompigrockmodleft_context.png,tompigrockinstright_context.png,tompigrockmodleft_context.png,1,inst,mod,L,R,609,2738,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigrockinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigrockmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tompigrock_nopauses.mp3?raw=true,0.151800836
C,Pre,131,Tom slapped the buffalo with the net,slapped,buffalo,net,buffaloladle,Sentence,1,InstControl,tombuffalonet_nopauses.mp3,tombuffalonetinstleft_context.png,tombuffalonetmodright_context.png,tombuffalonetmodright_context.png,tombuffalonetinstleft_context.png,2,mod,inst,R,L,543,2852,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalonetmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalonetinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tombuffalonet_nopauses.mp3?raw=true,0.156376587
C,Pre,129,Tom slapped the whale with the net,slapped,whale,net,whaleladle,Sentence,1,InstControl,tomwhalenet_nopauses.mp3,tomwhalenetinstleft_context.png,tomwhalenetmodright_context.png,tomwhalenetmodright_context.png,tomwhalenetinstleft_context.png,2,mod,inst,R,L,604,3019,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalenetmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalenetinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomwhalenet_nopauses.mp3?raw=true,0.158980671
C,Pre,87,Tom rubbed the fox with the eraser,rubbed,fox,eraser,foxtennisracket,Sentence,1,InstControl,tomfoxeraser_nopauses.mp3,tomfoxeraserinstright_context.png,tomfoxerasermodleft_context.png,tomfoxeraserinstright_context.png,tomfoxerasermodleft_context.png,1,inst,mod,L,R,506,3341,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxeraserinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfoxerasermodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfoxeraser_nopauses.mp3?raw=true,0.173068337
